x,y
-0.60604,-1.1793
-0.35888,-2.3479
-2.0592,1.8115
-1.0438,1.6783
-1.1156,-0.018185
2.367,-0.47959
-1.5179,3.0545
-1.1359,-2.3292
-0.54679,-1.3097
1.2481,3.5931
-2.1382,3.3377
2.2279,0.52308
-2.5011,5.5887
-0.22957,2.5685
-2.8177,6.3651
1.5192,1.261
1.2003,2.2324
-1.7129,2.1075
1.0794,4.7067
0.34376,1.4018
2.1041,-0.22509
0.35139,2.2154
2.4106,1.2755
-0.48289,0.16145
-0.85123,0.31877
-0.066075,1.8693
-1.4642,2.1197
2.575,2.9527
-0.19946,2.598
-1.476,-0.52792
-0.41269,-1.4054
1.2152,0.0012703
-0.58602,0.2077
-1.909,3.6062
2.1375,0.52372
0.50521,-0.2598
-0.75853,-0.93428
-1.6698,1.8981
-1.686,0.34606
0.13339,-0.69999
-0.39946,-1.9964
1.4478,1.6596
-2.5773,3.1557
2.084,0.68765
1.0793,3.6703
-2.1801,4.1886
2.1504,-0.067908
-1.801,3.4666
0.64404,4.2796
0.25827,0.85119
-2.0261,3.432
-2.9661,3.4328
1.6289,0.12817
1.5887,2.5992
-0.47358,-1.1819
-2.6591,6.8263
0.51448,3.3507
-1.9551,4.365
1.3717,3.3663
0.20575,3.6063
-1.4816,2.108
2.5023,2.3546
1.5492,1.7221
2.3222,-0.6625
-2.5872,4.8797
-1.8988,4.0116
1.4224,0.4293
1.1803,3.3068
1.662,2.0023
0.011421,0.69578
-0.44702,-0.50715
0.66742,2.703
2.1346,0.93841
1.0248,2.7871
0.14155,2.4629
-1.2071,-0.23692
1.2238,-1.4337
-0.71033,-1.9544
0.40611,2.328
2.3272,2.6508
2.0577,3.0335
2.3928,-0.044115
2.634,3.4112
1.8926,1.4477
-2.9919,5.2531
-2.9815,5.6113
-2.4752,5.4648
-1.4356,1.207
-2.8632,6.0123
-0.45549,-1.9838
-0.95361,-2.5007
0.24812,2.9317
2.557,1.5987
-1.209,2.0285
-0.97149,-2.2775
2.1569,0.091667
-0.95713,1.2068
-2.1713,6.8334
0.046794,-0.8555
2.1399,1.2836
-0.69412,0.7858
1.1741,4.6137
0.76743,0.86584
-0.29767,1.8503
-0.15829,0.88235
2.6982,2.9313
-2.499,5.2031
-1.321,-1.0345
-0.31796,-0.49475
0.52543,1.9886
2.2658,4.5647
-0.1854,0.077565
-0.37549,-1.0543
1.4771,1.9424
-0.19254,-1.1518
2.165,4.0957
-0.20093,0.69347
-0.011373,0.56692
-0.075416,1.8872
-1.6232,1.9769
-2.4867,5.3775
-2.5957,4.8088
2.3303,0.29468
-1.601,4.3091
2.1696,2.144
1.2704,2.5679
2.2369,3.615
2.628,2.277
-2.1619,5.1227
-0.6366,-3.3393
2.8834,4.3823
0.86876,0.67866
2.3785,-0.1519
-0.10662,1.5065
-2.9154,6.1508
0.73728,1.4541
-1.6134,1.3747
0.1646,1.5448
1.35,2.5962
0.64449,0.061635
0.5302,0.57702
-0.39939,-3.5126
-1.535,1.4261
-0.42624,-3.4967
-2.9389,6.6601
0.65293,1.1352
2.7479,1.1985
-2.4273,8.1116
-2.7865,8.9298
2.3174,-0.037706
-1.5184,1.3877
-2.9465,8.5461
1.8895,0.28445
-2.157,7.246
2.2792,2.3508
-2.4277,5.5098
-0.88464,-1.5991
0.56052,4.9979
0.51109,3.4037
1.0061,1.8653
0.88816,3.4414
-0.39979,-2.1711
-2.1614,4.9095
1.5116,4.1766
-1.5493,2.4119
0.90276,1.7131
2.1442,1.4979
-2.4938,4.4875
2.8325,6.3816
-2.8112,2.9883
2.0124,-0.0099558
2.0143,2.1355
-2.7009,4.4602
0.27532,1.6112
2.659,3.3727
-1.0712,1.2781
1.8388,-0.22144
0.60839,2.3062
1.7377,0.64696
1.7951,1.0724
-2.7026,6.2452
-1.3008,-0.6101
0.92074,4.0512
-0.062068,0.89434
2.8371,2.6721
1.4909,2.3434
0.40705,3.5134
-1.2062,1.3846
-1.4633,2.1465
2.3194,1.0977
-0.31919,-1.571
1.8959,1.4226
-2.41,4.6932
2.1576,0.48516
-2.8342,7.0571
2.3949,3.5444
2.3996,2.2804
0.14464,4.1609
-2.2788,2.7787
-1.9332,3.7288
1.2366,2.6469
1.9882,3.416
-2.791,6.437
1.547,1.3059
2.7427,3.6608
-0.94278,0.0063364
0.82946,3.1102
-0.94197,-4.0003
-1.7012,3.9972
1.7172,-3.8402
1.3385,2.4561
-1.327,-1.8837
0.49459,1.7608
-0.47397,1.0857
-2.4476,4.6918
-2.8558,8.5355
-0.053125,1.4569
-1.3304,0.090325
-0.96146,-2.2704
-1.2759,-0.54226
-1.9746,4.4564
-0.60442,-4.7435
1.1859,3.5177
-1.7779,3.3048
0.99796,4.0482
-0.3416,2.367
-0.40023,-1.3409
-1.9486,2.299
-1.8408,4.9919
0.69853,4.0557
-1.3859,0.52331
0.35807,0.98685
2.6687,2.8125
1.2868,0.70907
1.0753,2.8504
2.7563,1.9485
1.652,0.31219
0.64636,4.084
2.688,2.5827
-2.6422,7.6989
-1.3877,-0.8827
2.9201,4.2665
1.6332,0.015338
-0.14787,0.8561
1.0854,4.6973
-0.49839,0.47998
-0.7191,-4.397
-1.7204,3.5919
-0.70237,-1.2128
-2.822,6.1763
-0.16607,-0.95948
-0.99976,-3.2957
2.8551,4.8305
0.33266,1.0294
2.0778,0.46603
-0.55162,-0.88067
-0.22789,3.4507
1.9578,4.4589
2.9472,2.107
0.14369,0.36599
2.5526,3.3914
1.4341,-1.0413
0.40458,3.8953
2.8127,2.7598
1.947,3.1276
2.7577,1.5933
0.87808,1.4675
-0.72256,2.2484
-0.14055,0.83706
2.4713,1.1419
-2.9109,4.0776
-2.0598,5.9353
-0.17059,0.35851
0.25795,-1.8761
-2.6419,4.3171
0.94818,7.2995
2.3378,1.2164
-2.3422,2.2429
-0.37336,-2.1208
-1.3186,-0.22696
2.9115,4.8919
0.65255,2.3986
-1.4775,1.3729
-2.2043,4.8111
0.27003,0.12434
1.9668,2.7698
2.022,0.42667
2.0001,0.29122
-1.7777,3.1768
0.26651,1.4514
2.2497,0.29341
-2.274,5.2492
2.1381,4.1425
2.3987,2.1959
-1.6928,1.4334
-2.5381,4.2858
-0.15471,-0.45539
2.0102,-1.3835
-0.18364,2.5373
-0.51738,-0.77924
